Codigo;Producto;P. Venta;P. Mayoreo;Departamento;Existencia;Tipo de Venta;Proveedor
2808008231963;Broca Sds Plus 14x260mm Ferretools;2650;0;- Sin Departamento -;12;UNIDAD;ferre center
2808008231970;Broca Sds Plus 16x210mm Ferretools;2850;0;- Sin Departamento -;12;UNIDAD;ferre center
2808008231987;Broca Sds Plus 16x260mm Ferretools;3200;0;- Sin Departamento -;11;UNIDAD;ferre center
2808008232045;Cincel Sds Plano Ferretools;3600;0;- Sin Departamento -;14;UNIDAD;ferre center
2808008232304;Escuadra Magnetica 25 Lbrs Ferretools;4200;0;- Sin Departamento -;19;UNIDAD;ferre center
2808008232311;Escuadra Magnetica 50 Lbrs;7300;0;- Sin Departamento -;22;UNIDAD;ferre center
2808008232359;Broca Pino 4mm-32mm Ferretools;11200;0;- Sin Departamento -;6;UNIDAD;ferre center
2808008232441;Broca Plana Madera 3/4 Ferrertools;1500;0;- Sin Departamento -;24;UNIDAD;ferre center
2808008232557;Juego Sierra 8 Pcs Ferretools;13350;0;- Sin Departamento -;12;UNIDAD;ferre center
2808008232670;Formon 1 1/4 Ferretools;4700;0;- Sin Departamento -;12;UNIDAD;ferre center
2808008232687;Formon 1 1/2 Ferretools;5050;0;- Sin Departamento -;12;UNIDAD;ferre center
2808008234223;Pulpo 8mm x 120cm Ferretools;2300;0;- Sin Departamento -;6;UNIDAD;ferre center
2808008235060;Juego De Llaves Pta Estrella;7700;0;- Sin Departamento -;12;UNIDAD;ferre center
2808008235114;Escofina plana 8 Ferretools;2500;0;- Sin Departamento -;8;UNIDAD;
2808008235169;Prensa Sargento 18 Ferretools;9850;0;- Sin Departamento -;4;UNIDAD;ferre center
2808008235183;Chicharra 1/2 Ferretools;9300;0;- Sin Departamento -;13;UNIDAD;ferre center
2808008235527;Tizador C/Nivel 15M Azul Ferretools;2700;0;- Sin Departamento -;9;UNIDAD;ferre center
2808008236357;Escobilla Copa 3 Dorado Ferretools;3600;0;- Sin Departamento -;11;UNIDAD;ferre center
2808008236364;Escobilla Copa 4 Dorado Ferretools;5000;0;- Sin Departamento -;19;UNIDAD;ferre center
2808008236517;Alambre #18 X 25metros F;2700;0;- Sin Departamento -;19;UNIDAD;ferre center
2808008236524;Alambre #20 X 40metros;2700;0;- Sin Departamento -;40;UNIDAD;mag chile
2808008236531;Alambre #22 X 60metros;2700;0;- Sin Departamento -;20;UNIDAD;ferre center
2808008236852;Disco Corte Madera 7 1/4 (24T) Ferretools;5450;0;- Sin Departamento -;11;UNIDAD;ferre center
2808008252005;Alicate Universal #6 Ferretools;5500;0;- Sin Departamento -;7;UNIDAD;ferre center
2808008252081;Alicate Universal 8 Ferretools;6450;0;- Sin Departamento -;12;UNIDAD;ferre center
2808008260048;Manilla Estanque Metal Ferretools;2600;0;- Sin Departamento -;17;UNIDAD;ferre center
2808008260505;Mango Ducha Ferretools #22;5750;0;- Sin Departamento -;3;UNIDAD;ferre center
2808008261076;Llave Monomando Lavaplato Tipo L Negro #21;41400;0;- Sin Departamento -;3;UNIDAD;ferre center
2808008261274;Soporte Ducha Ferretools #23;1700;0;- Sin Departamento -;5;UNIDAD;ferre center
2808008270160;Juego Pistola Sopladora 6 Accesorios Ferretools;6000;0;- Sin Departamento -;6;UNIDAD;ferre center
2808008270221;Manguera P/Pistola 7.5M Ferretools;5300;0;- Sin Departamento -;6;UNIDAD;ferre center
2808008293237;Porta Martillo Cuero Ferretools;10450;0;- Sin Departamento -;6;UNIDAD;ferre center
280808270214;Pistola Limpia Motores Ferretools;13600;0;- Sin Departamento -;3;UNIDAD;ferre center
28103;Yee Union Gas Manguera Zincada;1200;0;- Sin Departamento -;24;UNIDAD;gasfit
28110;Yeso 25Kg;6900;0;- Sin Departamento -;34;UNIDAD;todoferretero
28127;Yeso X Kilo;600;0;- Sin Departamento -;49;UNIDAD;dideval
2813;Base Fluorecente 36w;8600;0;- Sin Departamento -;24;UNIDAD;
28134;Yute  #10;1200;0;- Sin Departamento -;186;UNIDAD;FERBICOM
28141;Yute #4;500;0;- Sin Departamento -;2;UNIDAD;
28158;Yute #6;400;0;- Sin Departamento -;181;UNIDAD;FERBICOM
28165;Yute #8;800;0;- Sin Departamento -;295;UNIDAD;FERBICOM
28172;abrazadera De Presion 3/8;400;0;- Sin Departamento -;4;UNIDAD;ferromat
28196;Accesorios Canaleta Kalop;300;0;- Sin Departamento -;763;UNIDAD;
2820;Bastago #3 Campana Cromado;3100;0;- Sin Departamento -;3;UNIDAD;taumm
28240;Ampolleta Halogena 118mm (150W);1900;0;- Sin Departamento -;166;UNIDAD;
28257;Ampolleta Halogena 78mm (150W);1900;0;- Sin Departamento -;199;UNIDAD;
28318;barras De Soldadura X Unidad;200;0;- Sin Departamento -;1;UNIDAD;
2837;Bastago 1/2 Con Manilla Ppr;5000;0;- Sin Departamento -;12;UNIDAD;gasfit
28394;Bushini Bronce 3/4 - 1/2;1750;0;- Sin Departamento -;34;UNIDAD;taumm
284;Abrazadera Omega De Metal 3/4;200;0;- Sin Departamento -;194;UNIDAD;mag chile
28400;Cable Parlante 1 M;350;0;- Sin Departamento -;186;UNIDAD;
28417;Cadena 4mm Eslabon Corto;2100;0;- Sin Departamento -;45;GRANEL;
28424;Cadena 4mm Eslabon Largo;1850;0;- Sin Departamento -;6;GRANEL;
2844;Bastago 2 Oring Campana #1;4300;0;- Sin Departamento -;5;UNIDAD;
28448;caleco 3 X 1.5mm;2200;0;- Sin Departamento -;212;UNIDAD;santa ines
28462;capuchon40;800;0;- Sin Departamento -;61;UNIDAD;
28486;ca�amo;400;0;- Sin Departamento -;472;UNIDAD;
2851;Bastago 3/4 Con Manilla Ppr;5900;0;- Sin Departamento -;5;UNIDAD;gasfit
28547;Codo Bronce 1/2 So;1000;0;- Sin Departamento -;162;UNIDAD;taumm
28554;Codo Bronce 3/4- 1/2 So;1400;0;- Sin Departamento -;16;UNIDAD;taumm
28561;Codo Bronce 3/8 So;800;0;- Sin Departamento -;45;UNIDAD;
28592;Codo Bronce 1/2 - 3/8 So;900;0;- Sin Departamento -;21;UNIDAD;taumm
28608;Codo Bronce HI 1/2;1500;0;- Sin Departamento -;59;UNIDAD;taumm
28622;Codo Bronce HI-HE 1/2;2200;0;- Sin Departamento -;537;UNIDAD;taumm
28646;Copla Bronce 1/2 - 3/8 So;900;0;- Sin Departamento -;27;UNIDAD;
28653;Copla Sanitario 110mm;1800;0;- Sin Departamento -;27;UNIDAD;hidraulicos
28660;Copla Bronce 3/4 So;1600;0;- Sin Departamento -;68;UNIDAD;taumm
2868;Bastago Campana Hilo Fino #2;4200;0;- Sin Departamento -;5;UNIDAD;taumm
28707;Copla Sanitario 40mm;500;0;- Sin Departamento -;57;UNIDAD;hidraulicos
28714;copla Conduit 20mm;150;0;- Sin Departamento -;140;UNIDAD;todoferretero
28738;Copla Bronce HI-HI 1/2;1500;0;- Sin Departamento -;8;UNIDAD;taumm
2875;Bastago Cuerpo #36 Llave De Paso 3/4;4500;0;- Sin Departamento -;1;UNIDAD;taumm
28776;Cordon 3x0.75mm Negro;1300;0;- Sin Departamento -;77;UNIDAD;
28813;desvaste7;3500;0;- Sin Departamento -;1;UNIDAD;
2881680000379;Flexible Calefon HI-HE 30cm;3850;0;- Sin Departamento -;10;UNIDAD;ferre center
2881680000737;Trampa Raton Caja 2 Unidades;3200;0;- Sin Departamento -;0;UNIDAD;
2881680000898;Pistola Calafatera Naranja;2350;2500;- Sin Departamento -;0;UNIDAD;mag chile
2881680000935;Lampara Portatil 5mtrs;7900;0;- Sin Departamento -;9;UNIDAD;mag chile
2881680001642;Juego De Dado 40pcs Aiwa;13400;0;- Sin Departamento -;12;UNIDAD;mag chile
2881680001796;Antena Tv Con Base;2500;0;- Sin Departamento -;4;UNIDAD;ferremundo
2881680003417;Kit De Circuito Electrico Escolar YTS;3050;0;- Sin Departamento -;11;UNIDAD;ferre center
2881680003790;Mascara Soldar Fotosensible;23500;0;- Sin Departamento -;0;UNIDAD;ferre center
2881680004308;Set Soldadura + Pasta YTS;2800;0;- Sin Departamento -;0;UNIDAD;mag chile
2881680010248;Soquete Negro;1500;0;- Sin Departamento -;170;UNIDAD;castillo
2881680010316;Adaptador Shuko Blanco;4450;0;- Sin Departamento -;0;UNIDAD;
2881680010590;Cautin Electrico 30W;11200;0;- Sin Departamento -;3;UNIDAD;elproin
2881680010606;Cautin Electrico 60W;12500;0;- Sin Departamento -;1;UNIDAD;mag chile
2881680012235;Adaptador Euroamericano;3750;0;- Sin Departamento -;56;UNIDAD;ferre center
2882;Bastago Cuerpo Con Manilla 3/4 #52;5400;0;- Sin Departamento -;4;UNIDAD;taumm
28877512624;Broca Sds Plus 10mm  Dewalt;4000;0;- Sin Departamento -;1;UNIDAD;
28899;Esmalte Sintetico 1L Amanecer Blanco;8800;0;- Sin Departamento -;0;UNIDAD;Amanecer
28905;Esmalte Sintetico 1L Amanecer Negro;8800;0;- Sin Departamento -;6;UNIDAD;Amanecer
28912;esparrago 3/8;2700;0;- Sin Departamento -;15;UNIDAD;valprik
28929;esponja fraguadora;1900;0;- Sin Departamento -;31;UNIDAD;
28936;fraguador chico;1100;0;- Sin Departamento -;5;UNIDAD;elproin
28943;fraguador grande;2500;0;- Sin Departamento -;9;UNIDAD;
2899;Baston De Valco He;6950;0;- Sin Departamento -;5;UNIDAD;
29049;Grampa Bolsa 10 Uni;500;0;- Sin Departamento -;342;UNIDAD;
2905;Baston De Valco Hi;6950;0;- Sin Departamento -;7;UNIDAD;
29056;Guante Soldar Rojo;4900;0;- Sin Departamento -;43;UNIDAD;full protek
29063;Hacha 1000G Makawa;15000;0;- Sin Departamento -;10;UNIDAD;mag chile
29070;hacha 1500g;25000;0;- Sin Departamento -;0;UNIDAD;
29087;hoja sierra;600;0;- Sin Departamento -;455;UNIDAD;uyustool
291;Abrazadera Sanitaria 110mm;1450;0;- Sin Departamento -;68;UNIDAD;hidraulicos
2912;Batea Rectangular;12600;0;- Sin Departamento -;3;UNIDAD;Trentini
29124;interruptor Nevada simple Dorado;3150;0;- Sin Departamento -;37;UNIDAD;castillo
29131;interruptor Nevada simple Grafito;3150;0;- Sin Departamento -;26;UNIDAD;castillo
29148;interruptor Nevada triple Blanco;4950;0;- Sin Departamento -;177;UNIDAD;castillo
29155;interruptor Nevada triple Grafito;4950;0;- Sin Departamento -;35;UNIDAD;castillo
29216;llave De Paso Valco 20 Mm;4950;0;- Sin Departamento -;19;UNIDAD;t h c
29261;Llave Corona 12mm Kamasa;1200;0;- Sin Departamento -;6;UNIDAD;mag chile
29285;Llave Corona 13mm Kamasa;1600;0;- Sin Departamento -;10;UNIDAD;mag chile
2929;Bemis Bar Premium;20000;0;- Sin Departamento -;0;UNIDAD;
29339;mango martillo madera;1500;0;- Sin Departamento -;20;UNIDAD;
29407;oleo Brillante Damasco amanecer 1/4;6600;0;- Sin Departamento -;12;UNIDAD;
29414;oleo Brillante Negro amanecer 1/4;6600;0;- Sin Departamento -;2;UNIDAD;
29421;oleo Brillante blanco amanecer 1/4;6600;0;- Sin Departamento -;4;UNIDAD;
29438;oleo Brillante calipso amanecer 1/4;6600;0;- Sin Departamento -;8;UNIDAD;
29445;oleo Brillante celeste amanecer 1/4;6600;0;- Sin Departamento -;7;UNIDAD;
29452;oleo Brillante colonial amanecer 1/4;6600;0;- Sin Departamento -;6;UNIDAD;
29469;oleo Brillante gris perla amanecer 1/4;6600;0;- Sin Departamento -;14;UNIDAD;
29476;oleo Brillante lila amanecer 1/4;6600;0;- Sin Departamento -;5;UNIDAD;
29483;oleo Brillante ocre amanecer 1/4;6600;0;- Sin Departamento -;6;UNIDAD;
29490;oleo Brillante roble amanecer 1/4;6600;0;- Sin Departamento -;7;UNIDAD;
2950;Bisagra 26mm Recta X2;1400;0;- Sin Departamento -;35;UNIDAD;lioi
29506;oleo Brillante vainilla amanecer 1/4;6600;0;- Sin Departamento -;6;UNIDAD;
29513;oleo Brillante verde agua amanecer 1/4;6600;0;- Sin Departamento -;9;UNIDAD;
29520;oleo Brillante verde manzana amanecer 1/4;6600;0;- Sin Departamento -;12;UNIDAD;
29551;partidor 500;500;0;- Sin Departamento -;56;UNIDAD;
29568;Interruptor Pera Blanco;1900;0;- Sin Departamento -;4;UNIDAD;
29575;Perfil Cuadrado 25x25x1.5;1;0;- Sin Departamento -;0;UNIDAD;
29582;Perfil Rectangular 40x20x1.5;11200;0;- Sin Departamento -;16;UNIDAD;
2967;Bisagra 26mm Semicurva;700;0;- Sin Departamento -;18;UNIDAD;ferromat
29674;puntas 1  Bolsa;1200;0;- Sin Departamento -;387;UNIDAD;rgm
